Store,Dept,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,IsHoliday,Type,Size
44,42,2010-10-29,45.12,2.841,,,,,,126.4364194,False,C,39910
44,46,2010-10-29,45.12,2.841,,,,,,126.4364194,False,C,39910
44,52,2010-10-29,45.12,2.841,,,,,,126.4364194,False,C,39910
44,55,2010-10-29,45.12,2.841,,,,,,126.4364194,False,C,39910
44,59,2010-10-29,45.12,2.841,,,,,,126.4364194,False,C,39910
44,60,2010-10-29,45.12,2.841,,,,,,126.4364194,False,C,39910
44,67,2010-10-29,45.12,2.841,,,,,,126.4364194,False,C,39910
44,72,2010-10-29,45.12,2.841,,,,,,126.4364194,False,C,39910
44,74,2010-10-29,45.12,2.841,,,,,,126.4364194,False,C,39910
44,79,2010-10-29,45.12,2.841,,,,,,126.4364194,False,C,39910
44,80,2010-10-29,45.12,2.841,,,,,,126.4364194,False,C,39910
44,81,2010-10-29,45.12,2.841,,,,,,126.4364194,False,C,39910
44,82,2010-10-29,45.12,2.841,,,,,,126.4364194,False,C,39910
44,83,2010-10-29,45.12,2.841,,,,,,126.4364194,False,C,39910
44,85,2010-10-29,45.12,2.841,,,,,,126.4364194,False,C,39910
44,87,2010-10-29,45.12,2.841,,,,,,126.4364194,False,C,39910
44,90,2010-10-29,45.12,2.841,,,,,,126.4364194,False,C,39910
44,91,2010-10-29,45.12,2.841,,,,,,126.4364194,False,C,39910
44,92,2010-10-29,45.12,2.841,,,,,,126.4364194,False,C,39910
44,93,2010-10-29,45.12,2.841,,,,,,126.4364194,False,C,39910
44,94,2010-10-29,45.12,2.841,,,,,,126.4364194,False,C,39910
44,95,2010-10-29,45.12,2.841,,,,,,126.4364194,False,C,39910
44,96,2010-10-29,45.12,2.841,,,,,,126.4364194,False,C,39910
44,97,2010-10-29,45.12,2.841,,,,,,126.4364194,False,C,39910
44,98,2010-10-29,45.12,2.841,,,,,,126.4364194,False,C,39910
44,1,2010-11-05,49.96,2.831,,,,,,126.4912903,False,C,39910
44,2,2010-11-05,49.96,2.831,,,,,,126.4912903,False,C,39910
44,3,2010-11-05,49.96,2.831,,,,,,126.4912903,False,C,39910
44,4,2010-11-05,49.96,2.831,,,,,,126.4912903,False,C,39910
44,5,2010-11-05,49.96,2.831,,,,,,126.4912903,False,C,39910
44,6,2010-11-05,49.96,2.831,,,,,,126.4912903,False,C,39910
44,7,2010-11-05,49.96,2.831,,,,,,126.4912903,False,C,39910
