Store,Dept,Date,Temperature,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday,Type,Size
5,72,2010-02-26,46.7,,,,,,211.8771468,6.566,False,B,34875
5,74,2010-02-26,46.7,,,,,,211.8771468,6.566,False,B,34875
5,78,2010-02-26,46.7,,,,,,211.8771468,6.566,False,B,34875
5,79,2010-02-26,46.7,,,,,,211.8771468,6.566,False,B,34875
5,81,2010-02-26,46.7,,,,,,211.8771468,6.566,False,B,34875
5,82,2010-02-26,46.7,,,,,,211.8771468,6.566,False,B,34875
5,85,2010-02-26,46.7,,,,,,211.8771468,6.566,False,B,34875
5,87,2010-02-26,46.7,,,,,,211.8771468,6.566,False,B,34875
5,90,2010-02-26,46.7,,,,,,211.8771468,6.566,False,B,34875
5,91,2010-02-26,46.7,,,,,,211.8771468,6.566,False,B,34875
5,92,2010-02-26,46.7,,,,,,211.8771468,6.566,False,B,34875
5,95,2010-02-26,46.7,,,,,,211.8771468,6.566,False,B,34875
5,96,2010-02-26,46.7,,,,,,211.8771468,6.566,False,B,34875
5,1,2010-03-05,48.89,,,,,,211.9071653,6.566,False,B,34875
5,2,2010-03-05,48.89,,,,,,211.9071653,6.566,False,B,34875
5,3,2010-03-05,48.89,,,,,,211.9071653,6.566,False,B,34875
5,4,2010-03-05,48.89,,,,,,211.9071653,6.566,False,B,34875
5,5,2010-03-05,48.89,,,,,,211.9071653,6.566,False,B,34875
5,6,2010-03-05,48.89,,,,,,211.9071653,6.566,False,B,34875
5,7,2010-03-05,48.89,,,,,,211.9071653,6.566,False,B,34875
5,8,2010-03-05,48.89,,,,,,211.9071653,6.566,False,B,34875
5,9,2010-03-05,48.89,,,,,,211.9071653,6.566,False,B,34875
5,10,2010-03-05,48.89,,,,,,211.9071653,6.566,False,B,34875
5,11,2010-03-05,48.89,,,,,,211.9071653,6.566,False,B,34875
5,12,2010-03-05,48.89,,,,,,211.9071653,6.566,False,B,34875
5,13,2010-03-05,48.89,,,,,,211.9071653,6.566,False,B,34875
5,14,2010-03-05,48.89,,,,,,211.9071653,6.566,False,B,34875
5,16,2010-03-05,48.89,,,,,,211.9071653,6.566,False,B,34875
5,17,2010-03-05,48.89,,,,,,211.9071653,6.566,False,B,34875
5,18,2010-03-05,48.89,,,,,,211.9071653,6.566,False,B,34875
5,19,2010-03-05,48.89,,,,,,211.9071653,6.566,False,B,34875
5,20,2010-03-05,48.89,,,,,,211.9071653,6.566,False,B,34875
5,21,2010-03-05,48.89,,,,,,211.9071653,6.566,False,B,34875
5,22,2010-03-05,48.89,,,,,,211.9071653,6.566,False,B,34875
