Store,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday,Type,Size
28,2011-05-27,76.67,4.087,,,,,,129.0623548,13.736,False,A,206302
28,2011-05-27,76.67,4.087,,,,,,129.0623548,13.736,False,A,206302
28,2011-05-27,76.67,4.087,,,,,,129.0623548,13.736,False,A,206302
28,2011-05-27,76.67,4.087,,,,,,129.0623548,13.736,False,A,206302
28,2011-05-27,76.67,4.087,,,,,,129.0623548,13.736,False,A,206302
28,2011-05-27,76.67,4.087,,,,,,129.0623548,13.736,False,A,206302
28,2011-05-27,76.67,4.087,,,,,,129.0623548,13.736,False,A,206302
28,2011-05-27,76.67,4.087,,,,,,129.0623548,13.736,False,A,206302
28,2011-05-27,76.67,4.087,,,,,,129.0623548,13.736,False,A,206302
28,2011-05-27,76.67,4.087,,,,,,129.0623548,13.736,False,A,206302
28,2011-05-27,76.67,4.087,,,,,,129.0623548,13.736,False,A,206302
28,2011-05-27,76.67,4.087,,,,,,129.0623548,13.736,False,A,206302
28,2011-05-27,76.67,4.087,,,,,,129.0623548,13.736,False,A,206302
28,2011-05-27,76.67,4.087,,,,,,129.0623548,13.736,False,A,206302
28,2011-05-27,76.67,4.087,,,,,,129.0623548,13.736,False,A,206302
28,2011-05-27,76.67,4.087,,,,,,129.0623548,13.736,False,A,206302
28,2011-05-27,76.67,4.087,,,,,,129.0623548,13.736,False,A,206302
28,2011-05-27,76.67,4.087,,,,,,129.0623548,13.736,False,A,206302
28,2011-05-27,76.67,4.087,,,,,,129.0623548,13.736,False,A,206302
28,2011-05-27,76.67,4.087,,,,,,129.0623548,13.736,False,A,206302
28,2011-05-27,76.67,4.087,,,,,,129.0623548,13.736,False,A,206302
28,2011-05-27,76.67,4.087,,,,,,129.0623548,13.736,False,A,206302
28,2011-05-27,76.67,4.087,,,,,,129.0623548,13.736,False,A,206302
28,2011-05-27,76.67,4.087,,,,,,129.0623548,13.736,False,A,206302
28,2011-05-27,76.67,4.087,,,,,,129.0623548,13.736,False,A,206302
28,2011-05-27,76.67,4.087,,,,,,129.0623548,13.736,False,A,206302
28,2011-05-27,76.67,4.087,,,,,,129.0623548,13.736,False,A,206302
28,2011-05-27,76.67,4.087,,,,,,129.0623548,13.736,False,A,206302
28,2011-05-27,76.67,4.087,,,,,,129.0623548,13.736,False,A,206302
28,2011-05-27,76.67,4.087,,,,,,129.0623548,13.736,False,A,206302
28,2011-05-27,76.67,4.087,,,,,,129.0623548,13.736,False,A,206302
28,2011-05-27,76.67,4.087,,,,,,129.0623548,13.736,False,A,206302
28,2011-05-27,76.67,4.087,,,,,,129.0623548,13.736,False,A,206302
28,2011-05-27,76.67,4.087,,,,,,129.0623548,13.736,False,A,206302
28,2011-05-27,76.67,4.087,,,,,,129.0623548,13.736,False,A,206302
28,2011-05-27,76.67,4.087,,,,,,129.0623548,13.736,False,A,206302
28,2011-05-27,76.67,4.087,,,,,,129.0623548,13.736,False,A,206302
28,2011-05-27,76.67,4.087,,,,,,129.0623548,13.736,False,A,206302
28,2011-05-27,76.67,4.087,,,,,,129.0623548,13.736,False,A,206302
28,2011-05-27,76.67,4.087,,,,,,129.0623548,13.736,False,A,206302
28,2011-05-27,76.67,4.087,,,,,,129.0623548,13.736,False,A,206302
28,2011-05-27,76.67,4.087,,,,,,129.0623548,13.736,False,A,206302
28,2011-05-27,76.67,4.087,,,,,,129.0623548,13.736,False,A,206302
28,2011-05-27,76.67,4.087,,,,,,129.0623548,13.736,False,A,206302
28,2011-05-27,76.67,4.087,,,,,,129.0623548,13.736,False,A,206302
28,2011-05-27,76.67,4.087,,,,,,129.0623548,13.736,False,A,206302
28,2011-05-27,76.67,4.087,,,,,,129.0623548,13.736,False,A,206302
28,2011-05-27,76.67,4.087,,,,,,129.0623548,13.736,False,A,206302
