Store,Dept,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday,Type,Size
25,25,21.6,3.14,,,,,,204.6321194,7.484,False,B,128107
25,26,21.6,3.14,,,,,,204.6321194,7.484,False,B,128107
25,27,21.6,3.14,,,,,,204.6321194,7.484,False,B,128107
25,28,21.6,3.14,,,,,,204.6321194,7.484,False,B,128107
25,29,21.6,3.14,,,,,,204.6321194,7.484,False,B,128107
25,30,21.6,3.14,,,,,,204.6321194,7.484,False,B,128107
25,31,21.6,3.14,,,,,,204.6321194,7.484,False,B,128107
25,32,21.6,3.14,,,,,,204.6321194,7.484,False,B,128107
25,33,21.6,3.14,,,,,,204.6321194,7.484,False,B,128107
25,34,21.6,3.14,,,,,,204.6321194,7.484,False,B,128107
25,35,21.6,3.14,,,,,,204.6321194,7.484,False,B,128107
25,36,21.6,3.14,,,,,,204.6321194,7.484,False,B,128107
25,37,21.6,3.14,,,,,,204.6321194,7.484,False,B,128107
25,38,21.6,3.14,,,,,,204.6321194,7.484,False,B,128107
25,40,21.6,3.14,,,,,,204.6321194,7.484,False,B,128107
25,41,21.6,3.14,,,,,,204.6321194,7.484,False,B,128107
25,42,21.6,3.14,,,,,,204.6321194,7.484,False,B,128107
25,44,21.6,3.14,,,,,,204.6321194,7.484,False,B,128107
25,45,21.6,3.14,,,,,,204.6321194,7.484,False,B,128107
25,46,21.6,3.14,,,,,,204.6321194,7.484,False,B,128107
25,47,21.6,3.14,,,,,,204.6321194,7.484,False,B,128107
25,48,21.6,3.14,,,,,,204.6321194,7.484,False,B,128107
25,49,21.6,3.14,,,,,,204.6321194,7.484,False,B,128107
25,50,21.6,3.14,,,,,,204.6321194,7.484,False,B,128107
25,52,21.6,3.14,,,,,,204.6321194,7.484,False,B,128107
25,54,21.6,3.14,,,,,,204.6321194,7.484,False,B,128107
25,55,21.6,3.14,,,,,,204.6321194,7.484,False,B,128107
25,56,21.6,3.14,,,,,,204.6321194,7.484,False,B,128107
25,58,21.6,3.14,,,,,,204.6321194,7.484,False,B,128107
25,59,21.6,3.14,,,,,,204.6321194,7.484,False,B,128107
25,67,21.6,3.14,,,,,,204.6321194,7.484,False,B,128107
25,71,21.6,3.14,,,,,,204.6321194,7.484,False,B,128107
25,72,21.6,3.14,,,,,,204.6321194,7.484,False,B,128107
