Store,Dept,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown5,CPI,Unemployment,IsHoliday,Type,Size
10,50,2012-01-06,59.85,3.443,7737.75,38456.09,39.72,5408.08,130.1575161,7.545,False,B,126512
10,52,2012-01-06,59.85,3.443,7737.75,38456.09,39.72,5408.08,130.1575161,7.545,False,B,126512
10,54,2012-01-06,59.85,3.443,7737.75,38456.09,39.72,5408.08,130.1575161,7.545,False,B,126512
10,55,2012-01-06,59.85,3.443,7737.75,38456.09,39.72,5408.08,130.1575161,7.545,False,B,126512
10,56,2012-01-06,59.85,3.443,7737.75,38456.09,39.72,5408.08,130.1575161,7.545,False,B,126512
10,58,2012-01-06,59.85,3.443,7737.75,38456.09,39.72,5408.08,130.1575161,7.545,False,B,126512
10,59,2012-01-06,59.85,3.443,7737.75,38456.09,39.72,5408.08,130.1575161,7.545,False,B,126512
10,60,2012-01-06,59.85,3.443,7737.75,38456.09,39.72,5408.08,130.1575161,7.545,False,B,126512
10,67,2012-01-06,59.85,3.443,7737.75,38456.09,39.72,5408.08,130.1575161,7.545,False,B,126512
10,71,2012-01-06,59.85,3.443,7737.75,38456.09,39.72,5408.08,130.1575161,7.545,False,B,126512
10,72,2012-01-06,59.85,3.443,7737.75,38456.09,39.72,5408.08,130.1575161,7.545,False,B,126512
10,74,2012-01-06,59.85,3.443,7737.75,38456.09,39.72,5408.08,130.1575161,7.545,False,B,126512
10,79,2012-01-06,59.85,3.443,7737.75,38456.09,39.72,5408.08,130.1575161,7.545,False,B,126512
10,80,2012-01-06,59.85,3.443,7737.75,38456.09,39.72,5408.08,130.1575161,7.545,False,B,126512
10,81,2012-01-06,59.85,3.443,7737.75,38456.09,39.72,5408.08,130.1575161,7.545,False,B,126512
10,82,2012-01-06,59.85,3.443,7737.75,38456.09,39.72,5408.08,130.1575161,7.545,False,B,126512
10,83,2012-01-06,59.85,3.443,7737.75,38456.09,39.72,5408.08,130.1575161,7.545,False,B,126512
10,85,2012-01-06,59.85,3.443,7737.75,38456.09,39.72,5408.08,130.1575161,7.545,False,B,126512
10,87,2012-01-06,59.85,3.443,7737.75,38456.09,39.72,5408.08,130.1575161,7.545,False,B,126512
10,90,2012-01-06,59.85,3.443,7737.75,38456.09,39.72,5408.08,130.1575161,7.545,False,B,126512
10,91,2012-01-06,59.85,3.443,7737.75,38456.09,39.72,5408.08,130.1575161,7.545,False,B,126512
10,92,2012-01-06,59.85,3.443,7737.75,38456.09,39.72,5408.08,130.1575161,7.545,False,B,126512
10,93,2012-01-06,59.85,3.443,7737.75,38456.09,39.72,5408.08,130.1575161,7.545,False,B,126512
10,94,2012-01-06,59.85,3.443,7737.75,38456.09,39.72,5408.08,130.1575161,7.545,False,B,126512
10,95,2012-01-06,59.85,3.443,7737.75,38456.09,39.72,5408.08,130.1575161,7.545,False,B,126512
10,96,2012-01-06,59.85,3.443,7737.75,38456.09,39.72,5408.08,130.1575161,7.545,False,B,126512
10,97,2012-01-06,59.85,3.443,7737.75,38456.09,39.72,5408.08,130.1575161,7.545,False,B,126512
10,1,2012-01-13,51.0,3.477,5203.77,14424.42,1.38,5659.57,130.244,7.545,False,B,126512
10,2,2012-01-13,51.0,3.477,5203.77,14424.42,1.38,5659.57,130.244,7.545,False,B,126512
10,3,2012-01-13,51.0,3.477,5203.77,14424.42,1.38,5659.57,130.244,7.545,False,B,126512
10,4,2012-01-13,51.0,3.477,5203.77,14424.42,1.38,5659.57,130.244,7.545,False,B,126512
10,5,2012-01-13,51.0,3.477,5203.77,14424.42,1.38,5659.57,130.244,7.545,False,B,126512
10,6,2012-01-13,51.0,3.477,5203.77,14424.42,1.38,5659.57,130.244,7.545,False,B,126512
10,7,2012-01-13,51.0,3.477,5203.77,14424.42,1.38,5659.57,130.244,7.545,False,B,126512
10,8,2012-01-13,51.0,3.477,5203.77,14424.42,1.38,5659.57,130.244,7.545,False,B,126512
10,9,2012-01-13,51.0,3.477,5203.77,14424.42,1.38,5659.57,130.244,7.545,False,B,126512
10,10,2012-01-13,51.0,3.477,5203.77,14424.42,1.38,5659.57,130.244,7.545,False,B,126512
10,11,2012-01-13,51.0,3.477,5203.77,14424.42,1.38,5659.57,130.244,7.545,False,B,126512
10,12,2012-01-13,51.0,3.477,5203.77,14424.42,1.38,5659.57,130.244,7.545,False,B,126512
10,13,2012-01-13,51.0,3.477,5203.77,14424.42,1.38,5659.57,130.244,7.545,False,B,126512
10,14,2012-01-13,51.0,3.477,5203.77,14424.42,1.38,5659.57,130.244,7.545,False,B,126512
10,16,2012-01-13,51.0,3.477,5203.77,14424.42,1.38,5659.57,130.244,7.545,False,B,126512
10,17,2012-01-13,51.0,3.477,5203.77,14424.42,1.38,5659.57,130.244,7.545,False,B,126512
10,18,2012-01-13,51.0,3.477,5203.77,14424.42,1.38,5659.57,130.244,7.545,False,B,126512
10,19,2012-01-13,51.0,3.477,5203.77,14424.42,1.38,5659.57,130.244,7.545,False,B,126512
10,20,2012-01-13,51.0,3.477,5203.77,14424.42,1.38,5659.57,130.244,7.545,False,B,126512
10,21,2012-01-13,51.0,3.477,5203.77,14424.42,1.38,5659.57,130.244,7.545,False,B,126512
10,22,2012-01-13,51.0,3.477,5203.77,14424.42,1.38,5659.57,130.244,7.545,False,B,126512
10,23,2012-01-13,51.0,3.477,5203.77,14424.42,1.38,5659.57,130.244,7.545,False,B,126512
10,24,2012-01-13,51.0,3.477,5203.77,14424.42,1.38,5659.57,130.244,7.545,False,B,126512
10,25,2012-01-13,51.0,3.477,5203.77,14424.42,1.38,5659.57,130.244,7.545,False,B,126512
10,26,2012-01-13,51.0,3.477,5203.77,14424.42,1.38,5659.57,130.244,7.545,False,B,126512
10,27,2012-01-13,51.0,3.477,5203.77,14424.42,1.38,5659.57,130.244,7.545,False,B,126512
10,28,2012-01-13,51.0,3.477,5203.77,14424.42,1.38,5659.57,130.244,7.545,False,B,126512
10,29,2012-01-13,51.0,3.477,5203.77,14424.42,1.38,5659.57,130.244,7.545,False,B,126512
10,30,2012-01-13,51.0,3.477,5203.77,14424.42,1.38,5659.57,130.244,7.545,False,B,126512
10,31,2012-01-13,51.0,3.477,5203.77,14424.42,1.38,5659.57,130.244,7.545,False,B,126512
10,32,2012-01-13,51.0,3.477,5203.77,14424.42,1.38,5659.57,130.244,7.545,False,B,126512
