MarkDown3,CPI,Store,Size,Temperature,Date,MarkDown1,MarkDown2,Fuel_Price,IsHoliday,Unemployment,Dept,Type,MarkDown5,MarkDown4
,133.6141429,19,203819,29.28,2011-03-04,,,3.605,False,7.771,35,A,,
,133.6141429,19,203819,29.28,2011-03-04,,,3.605,False,7.771,36,A,,
,133.6141429,19,203819,29.28,2011-03-04,,,3.605,False,7.771,37,A,,
,133.6141429,19,203819,29.28,2011-03-04,,,3.605,False,7.771,38,A,,
,133.6141429,19,203819,29.28,2011-03-04,,,3.605,False,7.771,40,A,,
,133.6141429,19,203819,29.28,2011-03-04,,,3.605,False,7.771,41,A,,
,133.6141429,19,203819,29.28,2011-03-04,,,3.605,False,7.771,42,A,,
,133.6141429,19,203819,29.28,2011-03-04,,,3.605,False,7.771,44,A,,
,133.6141429,19,203819,29.28,2011-03-04,,,3.605,False,7.771,46,A,,
,133.6141429,19,203819,29.28,2011-03-04,,,3.605,False,7.771,49,A,,
,133.6141429,19,203819,29.28,2011-03-04,,,3.605,False,7.771,50,A,,
,133.6141429,19,203819,29.28,2011-03-04,,,3.605,False,7.771,52,A,,
,133.6141429,19,203819,29.28,2011-03-04,,,3.605,False,7.771,54,A,,
,133.6141429,19,203819,29.28,2011-03-04,,,3.605,False,7.771,55,A,,
,133.6141429,19,203819,29.28,2011-03-04,,,3.605,False,7.771,56,A,,
,133.6141429,19,203819,29.28,2011-03-04,,,3.605,False,7.771,58,A,,
,133.6141429,19,203819,29.28,2011-03-04,,,3.605,False,7.771,59,A,,
,133.6141429,19,203819,29.28,2011-03-04,,,3.605,False,7.771,60,A,,
,133.6141429,19,203819,29.28,2011-03-04,,,3.605,False,7.771,67,A,,
,133.6141429,19,203819,29.28,2011-03-04,,,3.605,False,7.771,71,A,,
,133.6141429,19,203819,29.28,2011-03-04,,,3.605,False,7.771,72,A,,
,133.6141429,19,203819,29.28,2011-03-04,,,3.605,False,7.771,74,A,,
,133.6141429,19,203819,29.28,2011-03-04,,,3.605,False,7.771,79,A,,
,133.6141429,19,203819,29.28,2011-03-04,,,3.605,False,7.771,80,A,,
,133.6141429,19,203819,29.28,2011-03-04,,,3.605,False,7.771,81,A,,
,133.6141429,19,203819,29.28,2011-03-04,,,3.605,False,7.771,82,A,,
,133.6141429,19,203819,29.28,2011-03-04,,,3.605,False,7.771,83,A,,
,133.6141429,19,203819,29.28,2011-03-04,,,3.605,False,7.771,85,A,,
,133.6141429,19,203819,29.28,2011-03-04,,,3.605,False,7.771,87,A,,
,133.6141429,19,203819,29.28,2011-03-04,,,3.605,False,7.771,90,A,,
,133.6141429,19,203819,29.28,2011-03-04,,,3.605,False,7.771,91,A,,
,133.6141429,19,203819,29.28,2011-03-04,,,3.605,False,7.771,92,A,,
,133.6141429,19,203819,29.28,2011-03-04,,,3.605,False,7.771,93,A,,
,133.6141429,19,203819,29.28,2011-03-04,,,3.605,False,7.771,94,A,,
,133.6141429,19,203819,29.28,2011-03-04,,,3.605,False,7.771,95,A,,
,133.6141429,19,203819,29.28,2011-03-04,,,3.605,False,7.771,96,A,,
,133.6141429,19,203819,29.28,2011-03-04,,,3.605,False,7.771,97,A,,
,133.6141429,19,203819,29.28,2011-03-04,,,3.605,False,7.771,98,A,,
,133.6141429,19,203819,29.28,2011-03-04,,,3.605,False,7.771,99,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,1,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,2,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,3,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,4,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,5,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,6,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,7,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,8,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,9,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,10,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,11,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,12,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,13,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,14,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,16,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,17,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,18,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,20,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,21,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,22,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,23,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,24,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,25,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,26,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,27,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,28,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,29,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,30,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,31,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,32,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,33,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,34,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,35,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,36,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,37,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,38,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,40,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,41,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,42,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,44,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,46,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,47,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,49,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,50,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,52,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,54,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,55,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,56,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,58,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,59,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,60,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,67,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,71,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,72,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,74,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,79,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,80,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,81,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,82,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,83,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,85,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,87,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,90,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,91,A,,
,133.7361429,19,203819,35.59,2011-03-11,,,3.752,False,7.771,92,A,,
