Fuel_Price,CPI,Dept,MarkDown2,Date,Temperature,Type,IsHoliday,MarkDown4,MarkDown3,MarkDown1,MarkDown5,Unemployment,Size,Store
3.919,134.3571,21,,2011-04-22,39.62,B,False,,,,,4.781,114533,23
3.919,134.3571,22,,2011-04-22,39.62,B,False,,,,,4.781,114533,23
3.919,134.3571,23,,2011-04-22,39.62,B,False,,,,,4.781,114533,23
3.919,134.3571,24,,2011-04-22,39.62,B,False,,,,,4.781,114533,23
3.919,134.3571,25,,2011-04-22,39.62,B,False,,,,,4.781,114533,23
3.919,134.3571,26,,2011-04-22,39.62,B,False,,,,,4.781,114533,23
3.919,134.3571,27,,2011-04-22,39.62,B,False,,,,,4.781,114533,23
3.919,134.3571,28,,2011-04-22,39.62,B,False,,,,,4.781,114533,23
3.919,134.3571,29,,2011-04-22,39.62,B,False,,,,,4.781,114533,23
3.919,134.3571,30,,2011-04-22,39.62,B,False,,,,,4.781,114533,23
3.919,134.3571,31,,2011-04-22,39.62,B,False,,,,,4.781,114533,23
3.919,134.3571,32,,2011-04-22,39.62,B,False,,,,,4.781,114533,23
3.919,134.3571,33,,2011-04-22,39.62,B,False,,,,,4.781,114533,23
3.919,134.3571,34,,2011-04-22,39.62,B,False,,,,,4.781,114533,23
3.919,134.3571,35,,2011-04-22,39.62,B,False,,,,,4.781,114533,23
3.919,134.3571,36,,2011-04-22,39.62,B,False,,,,,4.781,114533,23
3.919,134.3571,38,,2011-04-22,39.62,B,False,,,,,4.781,114533,23
3.919,134.3571,40,,2011-04-22,39.62,B,False,,,,,4.781,114533,23
3.919,134.3571,41,,2011-04-22,39.62,B,False,,,,,4.781,114533,23
3.919,134.3571,42,,2011-04-22,39.62,B,False,,,,,4.781,114533,23
3.919,134.3571,44,,2011-04-22,39.62,B,False,,,,,4.781,114533,23
3.919,134.3571,45,,2011-04-22,39.62,B,False,,,,,4.781,114533,23
3.919,134.3571,46,,2011-04-22,39.62,B,False,,,,,4.781,114533,23
3.919,134.3571,49,,2011-04-22,39.62,B,False,,,,,4.781,114533,23
3.919,134.3571,50,,2011-04-22,39.62,B,False,,,,,4.781,114533,23
3.919,134.3571,51,,2011-04-22,39.62,B,False,,,,,4.781,114533,23
3.919,134.3571,52,,2011-04-22,39.62,B,False,,,,,4.781,114533,23
3.919,134.3571,54,,2011-04-22,39.62,B,False,,,,,4.781,114533,23
3.919,134.3571,55,,2011-04-22,39.62,B,False,,,,,4.781,114533,23
3.919,134.3571,56,,2011-04-22,39.62,B,False,,,,,4.781,114533,23
3.919,134.3571,58,,2011-04-22,39.62,B,False,,,,,4.781,114533,23
3.919,134.3571,59,,2011-04-22,39.62,B,False,,,,,4.781,114533,23
3.919,134.3571,60,,2011-04-22,39.62,B,False,,,,,4.781,114533,23
3.919,134.3571,67,,2011-04-22,39.62,B,False,,,,,4.781,114533,23
3.919,134.3571,71,,2011-04-22,39.62,B,False,,,,,4.781,114533,23
3.919,134.3571,72,,2011-04-22,39.62,B,False,,,,,4.781,114533,23
3.919,134.3571,74,,2011-04-22,39.62,B,False,,,,,4.781,114533,23
3.919,134.3571,79,,2011-04-22,39.62,B,False,,,,,4.781,114533,23
3.919,134.3571,80,,2011-04-22,39.62,B,False,,,,,4.781,114533,23
3.919,134.3571,81,,2011-04-22,39.62,B,False,,,,,4.781,114533,23
3.919,134.3571,82,,2011-04-22,39.62,B,False,,,,,4.781,114533,23
3.919,134.3571,83,,2011-04-22,39.62,B,False,,,,,4.781,114533,23
3.919,134.3571,85,,2011-04-22,39.62,B,False,,,,,4.781,114533,23
3.919,134.3571,87,,2011-04-22,39.62,B,False,,,,,4.781,114533,23
3.919,134.3571,90,,2011-04-22,39.62,B,False,,,,,4.781,114533,23
3.919,134.3571,91,,2011-04-22,39.62,B,False,,,,,4.781,114533,23
3.919,134.3571,92,,2011-04-22,39.62,B,False,,,,,4.781,114533,23
3.919,134.3571,93,,2011-04-22,39.62,B,False,,,,,4.781,114533,23
3.919,134.3571,95,,2011-04-22,39.62,B,False,,,,,4.781,114533,23
3.919,134.3571,96,,2011-04-22,39.62,B,False,,,,,4.781,114533,23
3.919,134.3571,97,,2011-04-22,39.62,B,False,,,,,4.781,114533,23
3.919,134.3571,98,,2011-04-22,39.62,B,False,,,,,4.781,114533,23
3.988,134.4357333,1,,2011-04-29,54.2,B,False,,,,,4.781,114533,23
3.988,134.4357333,2,,2011-04-29,54.2,B,False,,,,,4.781,114533,23
3.988,134.4357333,3,,2011-04-29,54.2,B,False,,,,,4.781,114533,23
3.988,134.4357333,4,,2011-04-29,54.2,B,False,,,,,4.781,114533,23
3.988,134.4357333,5,,2011-04-29,54.2,B,False,,,,,4.781,114533,23
3.988,134.4357333,6,,2011-04-29,54.2,B,False,,,,,4.781,114533,23
3.988,134.4357333,7,,2011-04-29,54.2,B,False,,,,,4.781,114533,23
3.988,134.4357333,8,,2011-04-29,54.2,B,False,,,,,4.781,114533,23
