MarkDown5,IsHoliday,MarkDown3,MarkDown4,MarkDown1,Temperature,MarkDown2,Unemployment,Date,Size,Store,CPI,Dept,Fuel_Price,Type
,False,,,,60.43,,9.265,2010-12-24,39690,33,126.9835806,12,3.236,A
,False,,,,60.43,,9.265,2010-12-24,39690,33,126.9835806,13,3.236,A
,False,,,,60.43,,9.265,2010-12-24,39690,33,126.9835806,14,3.236,A
,False,,,,60.43,,9.265,2010-12-24,39690,33,126.9835806,16,3.236,A
,False,,,,60.43,,9.265,2010-12-24,39690,33,126.9835806,17,3.236,A
,False,,,,60.43,,9.265,2010-12-24,39690,33,126.9835806,18,3.236,A
,False,,,,60.43,,9.265,2010-12-24,39690,33,126.9835806,20,3.236,A
,False,,,,60.43,,9.265,2010-12-24,39690,33,126.9835806,21,3.236,A
,False,,,,60.43,,9.265,2010-12-24,39690,33,126.9835806,22,3.236,A
,False,,,,60.43,,9.265,2010-12-24,39690,33,126.9835806,25,3.236,A
,False,,,,60.43,,9.265,2010-12-24,39690,33,126.9835806,26,3.236,A
,False,,,,60.43,,9.265,2010-12-24,39690,33,126.9835806,38,3.236,A
,False,,,,60.43,,9.265,2010-12-24,39690,33,126.9835806,40,3.236,A
,False,,,,60.43,,9.265,2010-12-24,39690,33,126.9835806,42,3.236,A
,False,,,,60.43,,9.265,2010-12-24,39690,33,126.9835806,46,3.236,A
,False,,,,60.43,,9.265,2010-12-24,39690,33,126.9835806,55,3.236,A
,False,,,,60.43,,9.265,2010-12-24,39690,33,126.9835806,56,3.236,A
,False,,,,60.43,,9.265,2010-12-24,39690,33,126.9835806,59,3.236,A
,False,,,,60.43,,9.265,2010-12-24,39690,33,126.9835806,60,3.236,A
,False,,,,60.43,,9.265,2010-12-24,39690,33,126.9835806,67,3.236,A
,False,,,,60.43,,9.265,2010-12-24,39690,33,126.9835806,74,3.236,A
,False,,,,60.43,,9.265,2010-12-24,39690,33,126.9835806,79,3.236,A
,False,,,,60.43,,9.265,2010-12-24,39690,33,126.9835806,80,3.236,A
,False,,,,60.43,,9.265,2010-12-24,39690,33,126.9835806,81,3.236,A
,False,,,,60.43,,9.265,2010-12-24,39690,33,126.9835806,82,3.236,A
,False,,,,60.43,,9.265,2010-12-24,39690,33,126.9835806,83,3.236,A
,False,,,,60.43,,9.265,2010-12-24,39690,33,126.9835806,87,3.236,A
,False,,,,60.43,,9.265,2010-12-24,39690,33,126.9835806,90,3.236,A
,False,,,,60.43,,9.265,2010-12-24,39690,33,126.9835806,91,3.236,A
,False,,,,60.43,,9.265,2010-12-24,39690,33,126.9835806,92,3.236,A
,False,,,,60.43,,9.265,2010-12-24,39690,33,126.9835806,93,3.236,A
,False,,,,60.43,,9.265,2010-12-24,39690,33,126.9835806,94,3.236,A
,False,,,,60.43,,9.265,2010-12-24,39690,33,126.9835806,95,3.236,A
,False,,,,60.43,,9.265,2010-12-24,39690,33,126.9835806,96,3.236,A
,False,,,,60.43,,9.265,2010-12-24,39690,33,126.9835806,97,3.236,A
,False,,,,60.43,,9.265,2010-12-24,39690,33,126.9835806,98,3.236,A
,True,,,,52.91,,9.265,2010-12-31,39690,33,127.0876774,1,3.148,A
,True,,,,52.91,,9.265,2010-12-31,39690,33,127.0876774,2,3.148,A
,True,,,,52.91,,9.265,2010-12-31,39690,33,127.0876774,3,3.148,A
,True,,,,52.91,,9.265,2010-12-31,39690,33,127.0876774,4,3.148,A
,True,,,,52.91,,9.265,2010-12-31,39690,33,127.0876774,5,3.148,A
,True,,,,52.91,,9.265,2010-12-31,39690,33,127.0876774,7,3.148,A
,True,,,,52.91,,9.265,2010-12-31,39690,33,127.0876774,8,3.148,A
,True,,,,52.91,,9.265,2010-12-31,39690,33,127.0876774,10,3.148,A
,True,,,,52.91,,9.265,2010-12-31,39690,33,127.0876774,11,3.148,A
,True,,,,52.91,,9.265,2010-12-31,39690,33,127.0876774,12,3.148,A
,True,,,,52.91,,9.265,2010-12-31,39690,33,127.0876774,13,3.148,A
,True,,,,52.91,,9.265,2010-12-31,39690,33,127.0876774,14,3.148,A
,True,,,,52.91,,9.265,2010-12-31,39690,33,127.0876774,16,3.148,A
,True,,,,52.91,,9.265,2010-12-31,39690,33,127.0876774,17,3.148,A
,True,,,,52.91,,9.265,2010-12-31,39690,33,127.0876774,18,3.148,A
,True,,,,52.91,,9.265,2010-12-31,39690,33,127.0876774,20,3.148,A
,True,,,,52.91,,9.265,2010-12-31,39690,33,127.0876774,21,3.148,A
,True,,,,52.91,,9.265,2010-12-31,39690,33,127.0876774,25,3.148,A
,True,,,,52.91,,9.265,2010-12-31,39690,33,127.0876774,26,3.148,A
,True,,,,52.91,,9.265,2010-12-31,39690,33,127.0876774,38,3.148,A
,True,,,,52.91,,9.265,2010-12-31,39690,33,127.0876774,40,3.148,A
,True,,,,52.91,,9.265,2010-12-31,39690,33,127.0876774,42,3.148,A
,True,,,,52.91,,9.265,2010-12-31,39690,33,127.0876774,46,3.148,A
,True,,,,52.91,,9.265,2010-12-31,39690,33,127.0876774,55,3.148,A
,True,,,,52.91,,9.265,2010-12-31,39690,33,127.0876774,56,3.148,A
,True,,,,52.91,,9.265,2010-12-31,39690,33,127.0876774,60,3.148,A
,True,,,,52.91,,9.265,2010-12-31,39690,33,127.0876774,67,3.148,A
,True,,,,52.91,,9.265,2010-12-31,39690,33,127.0876774,74,3.148,A
,True,,,,52.91,,9.265,2010-12-31,39690,33,127.0876774,79,3.148,A
,True,,,,52.91,,9.265,2010-12-31,39690,33,127.0876774,80,3.148,A
,True,,,,52.91,,9.265,2010-12-31,39690,33,127.0876774,81,3.148,A
,True,,,,52.91,,9.265,2010-12-31,39690,33,127.0876774,82,3.148,A
,True,,,,52.91,,9.265,2010-12-31,39690,33,127.0876774,83,3.148,A
,True,,,,52.91,,9.265,2010-12-31,39690,33,127.0876774,87,3.148,A
,True,,,,52.91,,9.265,2010-12-31,39690,33,127.0876774,90,3.148,A
,True,,,,52.91,,9.265,2010-12-31,39690,33,127.0876774,91,3.148,A
,True,,,,52.91,,9.265,2010-12-31,39690,33,127.0876774,92,3.148,A
,True,,,,52.91,,9.265,2010-12-31,39690,33,127.0876774,93,3.148,A
,True,,,,52.91,,9.265,2010-12-31,39690,33,127.0876774,94,3.148,A
,True,,,,52.91,,9.265,2010-12-31,39690,33,127.0876774,95,3.148,A
,True,,,,52.91,,9.265,2010-12-31,39690,33,127.0876774,96,3.148,A
,True,,,,52.91,,9.265,2010-12-31,39690,33,127.0876774,97,3.148,A
,True,,,,52.91,,9.265,2010-12-31,39690,33,127.0876774,98,3.148,A
,False,,,,46.25,,8.951,2011-01-07,39690,33,127.1917742,1,3.287,A
,False,,,,46.25,,8.951,2011-01-07,39690,33,127.1917742,2,3.287,A
,False,,,,46.25,,8.951,2011-01-07,39690,33,127.1917742,3,3.287,A
,False,,,,46.25,,8.951,2011-01-07,39690,33,127.1917742,4,3.287,A
,False,,,,46.25,,8.951,2011-01-07,39690,33,127.1917742,5,3.287,A
,False,,,,46.25,,8.951,2011-01-07,39690,33,127.1917742,6,3.287,A
,False,,,,46.25,,8.951,2011-01-07,39690,33,127.1917742,7,3.287,A
,False,,,,46.25,,8.951,2011-01-07,39690,33,127.1917742,8,3.287,A
