Store,Dept,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,Unemployment,IsHoliday,Type,Size
30,6,2010-02-05,39.05,2.572,,,,,,8.324,False,C,42988
30,7,2010-02-05,39.05,2.572,,,,,,8.324,False,C,42988
30,8,2010-02-05,39.05,2.572,,,,,,8.324,False,C,42988
30,9,2010-02-05,39.05,2.572,,,,,,8.324,False,C,42988
30,10,2010-02-05,39.05,2.572,,,,,,8.324,False,C,42988
30,11,2010-02-05,39.05,2.572,,,,,,8.324,False,C,42988
30,12,2010-02-05,39.05,2.572,,,,,,8.324,False,C,42988
30,13,2010-02-05,39.05,2.572,,,,,,8.324,False,C,42988
30,14,2010-02-05,39.05,2.572,,,,,,8.324,False,C,42988
30,16,2010-02-05,39.05,2.572,,,,,,8.324,False,C,42988
30,17,2010-02-05,39.05,2.572,,,,,,8.324,False,C,42988
30,18,2010-02-05,39.05,2.572,,,,,,8.324,False,C,42988
30,21,2010-02-05,39.05,2.572,,,,,,8.324,False,C,42988
30,25,2010-02-05,39.05,2.572,,,,,,8.324,False,C,42988
30,28,2010-02-05,39.05,2.572,,,,,,8.324,False,C,42988
30,31,2010-02-05,39.05,2.572,,,,,,8.324,False,C,42988
30,32,2010-02-05,39.05,2.572,,,,,,8.324,False,C,42988
30,38,2010-02-05,39.05,2.572,,,,,,8.324,False,C,42988
30,40,2010-02-05,39.05,2.572,,,,,,8.324,False,C,42988
30,42,2010-02-05,39.05,2.572,,,,,,8.324,False,C,42988
30,44,2010-02-05,39.05,2.572,,,,,,8.324,False,C,42988
30,46,2010-02-05,39.05,2.572,,,,,,8.324,False,C,42988
30,52,2010-02-05,39.05,2.572,,,,,,8.324,False,C,42988
30,55,2010-02-05,39.05,2.572,,,,,,8.324,False,C,42988
30,56,2010-02-05,39.05,2.572,,,,,,8.324,False,C,42988
30,59,2010-02-05,39.05,2.572,,,,,,8.324,False,C,42988
30,60,2010-02-05,39.05,2.572,,,,,,8.324,False,C,42988
30,67,2010-02-05,39.05,2.572,,,,,,8.324,False,C,42988
30,72,2010-02-05,39.05,2.572,,,,,,8.324,False,C,42988
