,Store,Dept,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday,Type,Size
0,13.0,16.0,2012-05-25,62.39,3.801,7282.07,,416.15,1048.83,7293.87,131.0287742,5.965,False,A,219622.0
1,,17.0,2012-05-25,62.39,3.801,7282.07,,416.15,1048.83,7293.87,131.0287742,5.965,False,A,219622.0
2,13.0,18.0,2012-05-25,62.39,3.801,7282.07,,416.15,1048.83,7293.87,economic crash,5.965,False,A,219622.0
3,13.0,19.0,2012-05-25,62.39,3.801,7282.07,,416.15,1048.83,7293.87,economic crash,5.965,False,no work today,219622.0
4,13.0,20.0,2012-05-25,62.39,3.801,7282.07,,416.15,1048.83,7293.87,131.0287742,5.965,False,A,219622.0
5,13.0,21.0,2012-05-25,62.39,3.801,7282.07,,416.15,1048.83,7293.87,131.0287742,5.965,False,A,219622.0
6,13.0,22.0,2012-05-25,62.39,3.801,7282.07,,416.15,1048.83,7293.87,131.0287742,5.965,590,A,
7,13.0,23.0,2012-05-25,62.39,3.801,7282.07,,416.15,1048.83,7293.87,131.0287742,5.965,False,A,219622.0
8,13.0,24.0,2012-05-25,62.39,3.801,7282.07,,416.15,1048.83,7293.87,economic crash,5.965,False,A,219622.0
9,13.0,25.0,2012-05-25,62.39,3.801,7282.07,,416.15,1048.83,7293.87,131.0287742,5.965,False,A,219622.0
