Store,Dept,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday,Type,Size
5.0,79.0,2010-10-22,70.96,2.725,,,,,,212.4169928,6.768,False,B,34875.0
5.0,81.0,2010-10-22,70.96,2.725,,,,,,212.4169928,6.768,False,B,34875.0
5.0,82.0,2010-10-22,70.96,2.725,,,,,,212.4169928,6.768,False,B,34875.0
5.0,85.0,2010-10-22,70.96,2.725,,,,,,212.4169928,6.768,False,B,34875.0
5.0,87.0,2010-10-22,70.96,2.725,,,,,,212.4169928,6.768,False,no work today,34875.0
5.0,90.0,2010-10-22,70.96,2.725,,,,,,212.4169928,6.768,False,B,34875.0
5.0,91.0,2010-10-22,70.96,2.725,,,,,,212.4169928,6.768,False,B,34875.0
5.0,92.0,2010-10-22,70.96,2.725,,,,,,212.4169928,6.768,False,B,34875.0
5.0,94.0,2010-10-22,70.96,2.725,,,,,,212.4169928,6.768,False,B,34875.0
5.0,95.0,2010-10-22,70.96,2.725,,,,,,212.4169928,6.768,False,B,34875.0
5.0,96.0,2010-10-22,70.96,2.725,,,,,,212.4169928,6.768,False,B,34875.0
5.0,97.0,2010-10-22,70.96,2.725,,,,,,no work today,6.768,False,B,34875.0
5.0,1.0,2010-10-29,70.58,2.716,,,,,,212.464799,6.768,False,B,34875.0
5.0,2.0,2010-10-29,70.58,2.716,,,,,,212.464799,6.768,False,B,-20.0
5.0,3.0,2010-10-29,70.58,2.716,,,,,,212.464799,6.768,False,B,34875.0
5.0,4.0,2010-10-29,70.58,2.716,,,,,,212.464799,6.768,False,B,34875.0
5.0,5.0,2010-10-29,70.58,2.716,,,,,,212.464799,6.768,False,no work today,34875.0
5.0,6.0,2010-10-29,70.58,2.716,,,,,,212.464799,6.768,False,B,34875.0
5.0,7.0,2010-10-29,70.58,2.716,,,,,,,6.768,False,B,34875.0
,8.0,2010-10-29,70.58,2.716,,,,,,212.464799,6.768,False,B,34875.0
5.0,9.0,2010-10-29,70.58,2.716,,,,,,212.464799,6.768,False,B,34875.0
