Store,Dept,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday,Type,Size
14.0,38.0,2011-05-13,60.38,4.066,,,,,,186.0719231,8.521,False,A,200898.0
14.0,40.0,2011-05-13,60.38,4.066,,,,,,186.0719231,8.521,693,no work today,200898.0
14.0,41.0,2011-05-13,60.38,4.066,,,,,,186.0719231,8.521,False,A,200898.0
14.0,42.0,2011-05-13,60.38,4.066,,,,,,186.0719231,8.521,False,A,200898.0
14.0,44.0,2011-05-13,60.38,4.066,,,,,,no sales today,8.521,False,A,200898.0
14.0,46.0,2011-05-13,60.38,4.066,,,,,,186.0719231,8.521,False,A,200898.0
14.0,49.0,2011-05-13,60.38,4.066,,,,,,186.0719231,8.521,False,A,200898.0
14.0,50.0,2011-05-13,60.38,4.066,,,,,,186.0719231,8.521,False,A,200898.0
14.0,51.0,2011-05-13,60.38,4.066,,,,,,186.0719231,,False,A,200898.0
14.0,52.0,2011-05-13,60.38,4.066,,,,,,186.0719231,8.521,False,A,200898.0
14.0,54.0,2011-05-13,60.38,4.066,,,,,,186.0719231,8.521,False,A,200898.0
14.0,55.0,2011-05-13,60.38,4.066,,,,,,186.0719231,8.521,False,A,200898.0
14.0,56.0,2011-05-13,60.38,4.066,,,,,,186.0719231,8.521,False,A,200898.0
14.0,58.0,2011-05-13,60.38,4.066,,,,,,186.0719231,8.521,False,A,200898.0
14.0,59.0,2011-05-13,60.38,4.066,,,,,,186.0719231,8.521,False,A,200898.0
14.0,60.0,2011-05-13,60.38,4.066,,,,,,186.0719231,8.521,False,A,200898.0
14.0,67.0,2011-05-13,60.38,4.066,,,,,,186.0719231,8.521,False,A,200898.0
14.0,71.0,2011-05-13,60.38,4.066,,,,,,186.0719231,8.521,False,A,200898.0
14.0,72.0,2011-05-13,60.38,4.066,,,,,,no sales today,8.521,False,A,200898.0
14.0,74.0,2011-05-13,60.38,4.066,,,,,,186.0719231,8.521,693,A,200898.0
14.0,79.0,2011-05-13,60.38,4.066,,,,,,186.0719231,8.521,False,A,200898.0
14.0,80.0,2011-05-13,60.38,4.066,,,,,,186.0719231,8.521,False,A,-66.0
14.0,81.0,2011-05-13,60.38,4.066,,,,,,186.0719231,8.521,False,A,200898.0
14.0,82.0,2011-05-13,60.38,4.066,,,,,,186.0719231,8.521,False,A,200898.0
14.0,83.0,2011-05-13,60.38,4.066,,,,,,186.0719231,8.521,False,A,200898.0
14.0,85.0,2011-05-13,60.38,4.066,,,,,,186.0719231,8.521,False,A,200898.0
