,Store,Dept,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday,Type,Size
10,30.0,42.0,2012-07-06,85.26,3.227,799.32,,2.35,2.96,2510.56,221.5215064,6.565,False,C,42988.0
11,30.0,46.0,2012-07-06,85.26,3.227,799.32,,2.35,2.96,2510.56,221.5215064,6.565,False,C,42988.0
12,30.0,52.0,2012-07-06,85.26,3.227,799.32,,2.35,2.96,2510.56,221.5215064,6.565,False,C,42988.0
13,30.0,56.0,2012-07-06,85.26,3.227,799.32,,2.35,2.96,2510.56,221.5215064,6.565,False,C,42988.0
15,30.0,60.0,2012-07-06,85.26,3.227,799.32,,2.35,2.96,2510.56,221.5215064,6.565,False,C,42988.0
18,30.0,74.0,2012-07-06,85.26,3.227,799.32,,2.35,2.96,2510.56,221.5215064,6.565,False,C,42988.0
19,30.0,79.0,2012-07-06,85.26,3.227,799.32,,2.35,2.96,2510.56,221.5215064,6.565,False,C,42988.0
21,30.0,81.0,2012-07-06,85.26,3.227,799.32,,2.35,2.96,2510.56,221.5215064,6.565,False,C,42988.0
22,30.0,82.0,2012-07-06,85.26,3.227,799.32,,2.35,2.96,2510.56,221.5215064,6.565,False,C,42988.0
23,30.0,83.0,2012-07-06,85.26,3.227,799.32,,2.35,2.96,2510.56,221.5215064,6.565,False,C,42988.0
25,30.0,87.0,2012-07-06,85.26,3.227,799.32,,2.35,2.96,2510.56,221.5215064,6.565,False,C,42988.0
27,30.0,91.0,2012-07-06,85.26,3.227,799.32,,2.35,2.96,2510.56,221.5215064,6.565,False,C,42988.0
28,30.0,92.0,2012-07-06,85.26,3.227,799.32,,2.35,2.96,2510.56,221.5215064,6.565,False,C,42988.0
30,30.0,94.0,2012-07-06,85.26,3.227,799.32,,2.35,2.96,2510.56,221.5215064,6.565,False,C,42988.0
31,30.0,95.0,2012-07-06,85.26,3.227,799.32,,2.35,2.96,2510.56,221.5215064,6.565,False,C,42988.0
32,30.0,96.0,2012-07-06,85.26,3.227,799.32,,2.35,2.96,2510.56,221.5215064,6.565,False,C,42988.0
34,30.0,98.0,2012-07-06,85.26,3.227,799.32,,2.35,2.96,2510.56,221.5215064,6.565,False,C,42988.0
35,30.0,99.0,2012-07-06,85.26,3.227,799.32,,2.35,2.96,2510.56,221.5215064,6.565,False,C,42988.0
36,30.0,1.0,2012-07-13,82.51,3.256,200.86,,4.08,,7547.27,221.5616784,6.565,False,C,42988.0
37,30.0,2.0,2012-07-13,82.51,3.256,200.86,,4.08,,7547.27,221.5616784,6.565,False,C,42988.0
38,30.0,3.0,2012-07-13,82.51,3.256,200.86,,4.08,,7547.27,221.5616784,6.565,False,C,42988.0
39,30.0,4.0,2012-07-13,82.51,3.256,200.86,,4.08,,7547.27,221.5616784,6.565,False,C,42988.0
40,30.0,5.0,2012-07-13,82.51,3.256,200.86,,4.08,,7547.27,221.5616784,6.565,False,C,42988.0
41,30.0,6.0,2012-07-13,82.51,3.256,200.86,,4.08,,7547.27,221.5616784,6.565,False,C,42988.0
42,30.0,7.0,2012-07-13,82.51,3.256,200.86,,4.08,,7547.27,221.5616784,6.565,False,C,42988.0
43,30.0,8.0,2012-07-13,82.51,3.256,200.86,,4.08,,7547.27,221.5616784,6.565,False,C,42988.0
45,30.0,10.0,2012-07-13,82.51,3.256,200.86,,4.08,,7547.27,221.5616784,6.565,False,C,42988.0
46,30.0,11.0,2012-07-13,82.51,3.256,200.86,,4.08,,7547.27,221.5616784,6.565,False,C,42988.0
47,30.0,12.0,2012-07-13,82.51,3.256,200.86,,4.08,,7547.27,221.5616784,6.565,False,C,42988.0
48,30.0,13.0,2012-07-13,82.51,3.256,200.86,,4.08,,7547.27,221.5616784,6.565,False,C,42988.0
49,30.0,14.0,2012-07-13,82.51,3.256,200.86,,4.08,,7547.27,221.5616784,6.565,False,C,42988.0
50,30.0,16.0,2012-07-13,82.51,3.256,200.86,,4.08,,7547.27,221.5616784,6.565,False,C,42988.0
