,Store,Dept,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday,Type,Size
10,,5.0,2011-11-18,29.53,3.479,3221.47,1229.96,7.35,494.15,3947.57,195.7184713,8.513,False,B,70713.0
11,7.0,6.0,2011-11-18,29.53,3.479,3221.47,1229.96,7.35,494.15,3947.57,195.7184713,8.513,False,B,70713.0
12,7.0,7.0,2011-11-18,29.53,3.479,3221.47,1229.96,7.35,494.15,3947.57,195.7184713,8.513,False,B,70713.0
14,7.0,9.0,2011-11-18,29.53,3.479,3221.47,1229.96,7.35,494.15,3947.57,195.7184713,8.513,False,B,70713.0
15,7.0,10.0,2011-11-18,29.53,3.479,3221.47,1229.96,7.35,494.15,3947.57,195.7184713,8.513,False,B,70713.0
17,7.0,12.0,2011-11-18,29.53,3.479,3221.47,1229.96,7.35,494.15,3947.57,195.7184713,8.513,False,B,70713.0
18,7.0,13.0,2011-11-18,29.53,3.479,3221.47,1229.96,7.35,494.15,3947.57,195.7184713,8.513,False,B,70713.0
19,7.0,14.0,2011-11-18,29.53,3.479,3221.47,1229.96,7.35,494.15,3947.57,195.7184713,8.513,False,B,70713.0
20,7.0,16.0,2011-11-18,29.53,3.479,3221.47,1229.96,7.35,494.15,3947.57,195.7184713,8.513,False,B,70713.0
22,7.0,18.0,2011-11-18,29.53,3.479,3221.47,1229.96,7.35,494.15,3947.57,195.7184713,8.513,False,B,70713.0
24,7.0,21.0,2011-11-18,29.53,3.479,3221.47,1229.96,7.35,494.15,3947.57,195.7184713,8.513,False,B,70713.0
25,7.0,22.0,2011-11-18,29.53,3.479,3221.47,1229.96,7.35,494.15,3947.57,195.7184713,8.513,False,B,70713.0
27,7.0,24.0,2011-11-18,29.53,3.479,3221.47,1229.96,7.35,494.15,3947.57,195.7184713,8.513,False,B,70713.0
29,7.0,26.0,2011-11-18,29.53,3.479,3221.47,1229.96,7.35,494.15,3947.57,195.7184713,8.513,False,B,70713.0
30,7.0,27.0,2011-11-18,29.53,3.479,3221.47,1229.96,7.35,494.15,3947.57,195.7184713,8.513,False,B,70713.0
31,7.0,28.0,2011-11-18,29.53,3.479,3221.47,1229.96,7.35,494.15,3947.57,195.7184713,8.513,False,B,70713.0
32,7.0,29.0,2011-11-18,29.53,3.479,3221.47,1229.96,7.35,494.15,3947.57,195.7184713,8.513,False,B,70713.0
