,Store,Dept,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday,Type,Size
10,35.0,40.0,2010-09-17,64.5,2.706,,,,,,136.6338071,8.861,False,B,103681.0
12,35.0,42.0,2010-09-17,64.5,2.706,,,,,,136.6338071,8.861,False,B,103681.0
13,35.0,44.0,2010-09-17,64.5,2.706,,,,,,136.6338071,8.861,False,B,103681.0
14,35.0,46.0,2010-09-17,64.5,2.706,,,,,,136.6338071,8.861,False,B,103681.0
15,35.0,51.0,2010-09-17,64.5,2.706,,,,,,136.6338071,8.861,False,B,103681.0
16,35.0,52.0,2010-09-17,64.5,2.706,,,,,,136.6338071,8.861,False,B,103681.0
17,35.0,54.0,2010-09-17,64.5,2.706,,,,,,136.6338071,8.861,False,B,103681.0
18,35.0,55.0,,64.5,2.706,,,,,,136.6338071,8.861,False,B,103681.0
22,35.0,60.0,2010-09-17,64.5,2.706,,,,,,136.6338071,8.861,False,B,103681.0
24,35.0,71.0,2010-09-17,64.5,2.706,,,,,,136.6338071,8.861,False,B,103681.0
25,35.0,72.0,2010-09-17,64.5,2.706,,,,,,136.6338071,8.861,False,B,103681.0
26,35.0,74.0,2010-09-17,64.5,2.706,,,,,,136.6338071,8.861,False,B,103681.0
28,35.0,81.0,2010-09-17,64.5,2.706,,,,,,136.6338071,8.861,False,B,103681.0
29,35.0,82.0,2010-09-17,64.5,2.706,,,,,,136.6338071,8.861,False,B,103681.0
30,35.0,,2010-09-17,64.5,2.706,,,,,,136.6338071,8.861,False,B,103681.0
31,35.0,85.0,2010-09-17,64.5,2.706,,,,,,136.6338071,8.861,False,B,103681.0
32,35.0,87.0,2010-09-17,64.5,2.706,,,,,,136.6338071,8.861,False,B,103681.0
37,35.0,95.0,2010-09-17,64.5,2.706,,,,,,136.6338071,8.861,False,B,103681.0
40,35.0,2.0,2010-09-24,67.08,2.713,,,,,,136.6317821,8.861,False,B,103681.0
42,35.0,4.0,2010-09-24,67.08,2.713,,,,,,136.6317821,8.861,False,B,103681.0
43,35.0,5.0,2010-09-24,67.08,2.713,,,,,,136.6317821,8.861,False,B,103681.0
44,35.0,6.0,2010-09-24,67.08,2.713,,,,,,136.6317821,8.861,False,B,103681.0
45,35.0,7.0,2010-09-24,67.08,2.713,,,,,,,8.861,False,B,103681.0
46,35.0,8.0,2010-09-24,67.08,2.713,,,,,,136.6317821,8.861,False,B,103681.0
47,35.0,9.0,2010-09-24,67.08,2.713,,,,,,136.6317821,8.861,False,B,103681.0
48,35.0,10.0,2010-09-24,67.08,2.713,,,,,,136.6317821,8.861,False,B,103681.0
49,35.0,11.0,2010-09-24,67.08,2.713,,,,,,136.6317821,8.861,False,B,103681.0
50,,12.0,2010-09-24,67.08,2.713,,,,,,136.6317821,8.861,False,B,103681.0
52,35.0,14.0,2010-09-24,67.08,2.713,,,,,,136.6317821,8.861,False,B,103681.0
53,35.0,16.0,2010-09-24,67.08,2.713,,,,,,136.6317821,8.861,False,B,103681.0
55,35.0,18.0,2010-09-24,67.08,2.713,,,,,,136.6317821,8.861,False,B,103681.0
56,35.0,20.0,2010-09-24,67.08,2.713,,,,,,136.6317821,8.861,False,B,103681.0
57,35.0,21.0,2010-09-24,67.08,2.713,,,,,,136.6317821,8.861,False,B,103681.0
58,35.0,22.0,2010-09-24,67.08,2.713,,,,,,136.6317821,8.861,False,B,103681.0
59,35.0,23.0,2010-09-24,67.08,2.713,,,,,,136.6317821,8.861,False,B,103681.0
60,35.0,24.0,2010-09-24,67.08,2.713,,,,,,136.6317821,8.861,False,B,103681.0
61,35.0,25.0,2010-09-24,67.08,2.713,,,,,,136.6317821,8.861,False,B,103681.0
62,,26.0,2010-09-24,67.08,2.713,,,,,,136.6317821,8.861,False,B,103681.0
64,35.0,28.0,2010-09-24,67.08,2.713,,,,,,136.6317821,8.861,False,B,103681.0
65,35.0,29.0,2010-09-24,67.08,2.713,,,,,,136.6317821,8.861,False,B,103681.0
66,35.0,30.0,2010-09-24,67.08,2.713,,,,,,136.6317821,8.861,False,B,103681.0
69,35.0,33.0,,67.08,2.713,,,,,,136.6317821,8.861,False,B,103681.0
70,35.0,34.0,2010-09-24,67.08,2.713,,,,,,136.6317821,8.861,False,B,103681.0
71,35.0,35.0,2010-09-24,67.08,2.713,,,,,,136.6317821,8.861,False,B,103681.0
72,35.0,36.0,2010-09-24,67.08,2.713,,,,,,136.6317821,8.861,False,B,103681.0
73,35.0,38.0,2010-09-24,67.08,2.713,,,,,,136.6317821,8.861,False,B,103681.0
74,35.0,40.0,2010-09-24,67.08,2.713,,,,,,136.6317821,8.861,False,B,103681.0
75,35.0,41.0,2010-09-24,67.08,2.713,,,,,,136.6317821,8.861,False,B,103681.0
76,35.0,42.0,2010-09-24,67.08,2.713,,,,,,136.6317821,8.861,False,B,103681.0
78,35.0,46.0,2010-09-24,67.08,2.713,,,,,,136.6317821,8.861,False,B,103681.0
79,35.0,47.0,2010-09-24,67.08,2.713,,,,,,136.6317821,8.861,False,B,103681.0
81,35.0,52.0,2010-09-24,67.08,2.713,,,,,,136.6317821,8.861,False,B,103681.0
