,Store,Dept,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday,Type,Size
10,13.0,25.0,2010-03-12,37.62,2.733,,,,,,126.6042857,8.316,False,A,219622.0
11,13.0,26.0,2010-03-12,37.62,2.733,,,,,,126.6042857,8.316,False,A,219622.0
12,13.0,27.0,2010-03-12,37.62,2.733,,,,,,126.6042857,8.316,False,A,219622.0
14,13.0,29.0,2010-03-12,37.62,2.733,,,,,,126.6042857,8.316,False,A,219622.0
15,13.0,30.0,2010-03-12,37.62,2.733,,,,,,126.6042857,8.316,False,A,219622.0
17,13.0,32.0,2010-03-12,37.62,2.733,,,,,,126.6042857,8.316,False,A,219622.0
18,13.0,33.0,2010-03-12,37.62,2.733,,,,,,126.6042857,8.316,False,A,219622.0
19,13.0,34.0,2010-03-12,37.62,2.733,,,,,,126.6042857,8.316,False,A,219622.0
20,13.0,35.0,2010-03-12,37.62,2.733,,,,,,126.6042857,8.316,False,A,219622.0
21,13.0,36.0,2010-03-12,37.62,2.733,,,,,,126.6042857,8.316,False,A,219622.0
22,13.0,37.0,2010-03-12,37.62,2.733,,,,,,126.6042857,8.316,False,A,219622.0
23,13.0,38.0,2010-03-12,37.62,2.733,,,,,,126.6042857,8.316,False,A,219622.0
24,13.0,40.0,2010-03-12,37.62,2.733,,,,,,126.6042857,8.316,False,A,219622.0
25,13.0,41.0,2010-03-12,37.62,2.733,,,,,,126.6042857,8.316,False,A,219622.0
26,13.0,42.0,2010-03-12,37.62,2.733,,,,,,126.6042857,8.316,False,A,219622.0
28,13.0,45.0,2010-03-12,37.62,2.733,,,,,,126.6042857,8.316,False,A,219622.0
29,,46.0,2010-03-12,37.62,2.733,,,,,,126.6042857,8.316,False,A,219622.0
30,13.0,48.0,2010-03-12,37.62,2.733,,,,,,126.6042857,8.316,False,A,219622.0
31,13.0,49.0,2010-03-12,37.62,2.733,,,,,,126.6042857,8.316,False,A,219622.0
32,13.0,50.0,2010-03-12,37.62,2.733,,,,,,126.6042857,8.316,False,A,219622.0
33,13.0,51.0,2010-03-12,37.62,2.733,,,,,,126.6042857,8.316,False,A,219622.0
34,13.0,52.0,2010-03-12,37.62,2.733,,,,,,126.6042857,8.316,False,A,219622.0
35,13.0,54.0,2010-03-12,37.62,2.733,,,,,,126.6042857,8.316,False,A,219622.0
41,13.0,67.0,2010-03-12,37.62,2.733,,,,,,126.6042857,8.316,False,A,219622.0
42,13.0,71.0,2010-03-12,37.62,2.733,,,,,,126.6042857,8.316,False,A,219622.0
43,13.0,72.0,2010-03-12,37.62,2.733,,,,,,126.6042857,8.316,False,A,219622.0
44,13.0,74.0,2010-03-12,37.62,2.733,,,,,,126.6042857,8.316,False,A,219622.0
45,13.0,78.0,2010-03-12,37.62,2.733,,,,,,126.6042857,8.316,False,A,219622.0
46,13.0,79.0,2010-03-12,37.62,2.733,,,,,,126.6042857,8.316,False,A,219622.0
47,13.0,80.0,2010-03-12,37.62,2.733,,,,,,126.6042857,8.316,False,A,219622.0
48,13.0,81.0,2010-03-12,37.62,2.733,,,,,,126.6042857,8.316,False,A,219622.0
49,13.0,82.0,2010-03-12,37.62,2.733,,,,,,126.6042857,8.316,False,A,219622.0
50,13.0,83.0,2010-03-12,37.62,2.733,,,,,,126.6042857,8.316,False,A,219622.0
51,13.0,85.0,2010-03-12,37.62,2.733,,,,,,126.6042857,8.316,False,A,219622.0
55,13.0,92.0,2010-03-12,37.62,2.733,,,,,,126.6042857,8.316,False,A,219622.0
56,13.0,93.0,2010-03-12,37.62,2.733,,,,,,126.6042857,8.316,False,A,219622.0
57,13.0,94.0,2010-03-12,37.62,2.733,,,,,,126.6042857,8.316,False,A,219622.0
60,13.0,97.0,2010-03-12,37.62,2.733,,,,,,126.6042857,8.316,False,A,219622.0
61,13.0,98.0,2010-03-12,37.62,2.733,,,,,,126.6042857,8.316,False,A,219622.0
63,13.0,2.0,2010-03-19,42.49,2.782,,,,,,126.6066452,8.316,False,A,219622.0
65,13.0,4.0,2010-03-19,42.49,2.782,,,,,,126.6066452,8.316,False,A,219622.0
66,13.0,5.0,2010-03-19,42.49,2.782,,,,,,126.6066452,8.316,False,A,219622.0
67,13.0,,2010-03-19,42.49,2.782,,,,,,126.6066452,8.316,False,A,219622.0
70,13.0,,2010-03-19,42.49,2.782,,,,,,126.6066452,8.316,False,A,219622.0
73,13.0,12.0,2010-03-19,42.49,2.782,,,,,,126.6066452,8.316,False,A,219622.0
74,13.0,13.0,2010-03-19,42.49,2.782,,,,,,126.6066452,8.316,False,A,219622.0
75,13.0,14.0,2010-03-19,42.49,2.782,,,,,,126.6066452,8.316,False,A,219622.0
76,13.0,16.0,2010-03-19,42.49,2.782,,,,,,126.6066452,8.316,False,A,219622.0
78,13.0,18.0,2010-03-19,42.49,2.782,,,,,,126.6066452,8.316,False,A,219622.0
80,13.0,20.0,2010-03-19,42.49,2.782,,,,,,126.6066452,8.316,False,A,219622.0
81,13.0,21.0,2010-03-19,42.49,2.782,,,,,,126.6066452,8.316,False,A,219622.0
84,13.0,24.0,2010-03-19,42.49,2.782,,,,,,126.6066452,8.316,False,A,219622.0
85,13.0,25.0,2010-03-19,42.49,2.782,,,,,,126.6066452,8.316,False,A,219622.0
86,13.0,26.0,2010-03-19,42.49,2.782,,,,,,126.6066452,8.316,False,A,219622.0
90,13.0,30.0,2010-03-19,42.49,2.782,,,,,,126.6066452,8.316,False,A,219622.0
93,13.0,33.0,2010-03-19,42.49,2.782,,,,,,126.6066452,8.316,False,A,219622.0
96,13.0,36.0,2010-03-19,42.49,2.782,,,,,,126.6066452,8.316,False,A,219622.0
97,13.0,37.0,2010-03-19,42.49,2.782,,,,,,126.6066452,8.316,False,A,219622.0
100,13.0,41.0,2010-03-19,42.49,2.782,,,,,,126.6066452,8.316,False,A,219622.0
101,13.0,42.0,2010-03-19,42.49,2.782,,,,,,126.6066452,8.316,False,A,219622.0
102,13.0,44.0,2010-03-19,42.49,2.782,,,,,,126.6066452,8.316,False,A,219622.0
103,13.0,45.0,2010-03-19,42.49,2.782,,,,,,126.6066452,8.316,False,A,219622.0
104,13.0,46.0,2010-03-19,42.49,2.782,,,,,,126.6066452,8.316,False,A,219622.0
105,13.0,48.0,2010-03-19,42.49,2.782,,,,,,126.6066452,8.316,False,A,219622.0
106,13.0,49.0,2010-03-19,42.49,2.782,,,,,,126.6066452,8.316,False,A,219622.0
109,13.0,52.0,2010-03-19,42.49,2.782,,,,,,126.6066452,8.316,False,A,219622.0
110,13.0,54.0,2010-03-19,42.49,2.782,,,,,,126.6066452,8.316,False,A,219622.0
112,13.0,56.0,2010-03-19,42.49,2.782,,,,,,126.6066452,8.316,False,A,219622.0
114,13.0,59.0,2010-03-19,42.49,2.782,,,,,,126.6066452,8.316,False,A,219622.0
117,13.0,71.0,2010-03-19,42.49,2.782,,,,,,126.6066452,8.316,False,A,219622.0
118,13.0,72.0,2010-03-19,42.49,2.782,,,,,,126.6066452,8.316,False,A,219622.0
119,13.0,74.0,2010-03-19,42.49,2.782,,,,,,126.6066452,8.316,False,A,219622.0
120,13.0,79.0,2010-03-19,42.49,2.782,,,,,,126.6066452,8.316,False,A,219622.0
122,13.0,81.0,2010-03-19,42.49,2.782,,,,,,126.6066452,8.316,False,A,219622.0
