,Store,Dept,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday,Type,Size
10,39.0,28.0,2012-10-19,,3.594,2139.7,,1.6,99.01,11831.06,222.0951719,6.228,False,A,184109.0
11,39.0,29.0,2012-10-19,71.45,3.594,2139.7,,1.6,99.01,11831.06,222.0951719,6.228,False,A,184109.0
12,39.0,30.0,2012-10-19,71.45,3.594,2139.7,,1.6,99.01,11831.06,222.0951719,6.228,False,A,184109.0
13,39.0,31.0,2012-10-19,71.45,3.594,2139.7,,1.6,99.01,11831.06,222.0951719,6.228,False,A,184109.0
14,39.0,32.0,2012-10-19,71.45,3.594,2139.7,,1.6,99.01,11831.06,222.0951719,6.228,False,A,184109.0
15,39.0,33.0,2012-10-19,71.45,3.594,2139.7,,1.6,99.01,11831.06,222.0951719,6.228,False,A,184109.0
16,39.0,34.0,2012-10-19,71.45,3.594,2139.7,,1.6,99.01,11831.06,222.0951719,6.228,False,A,184109.0
20,39.0,40.0,2012-10-19,71.45,3.594,2139.7,,1.6,99.01,11831.06,222.0951719,6.228,False,A,184109.0
21,39.0,41.0,2012-10-19,71.45,3.594,2139.7,,1.6,99.01,11831.06,222.0951719,6.228,False,A,184109.0
24,39.0,46.0,2012-10-19,71.45,3.594,2139.7,,1.6,99.01,11831.06,222.0951719,6.228,False,A,184109.0
25,39.0,49.0,2012-10-19,71.45,3.594,2139.7,,1.6,99.01,11831.06,222.0951719,6.228,False,A,184109.0
27,39.0,54.0,2012-10-19,71.45,3.594,2139.7,,1.6,99.01,11831.06,222.0951719,6.228,False,A,184109.0
30,39.0,58.0,2012-10-19,71.45,3.594,2139.7,,1.6,99.01,11831.06,222.0951719,6.228,False,A,184109.0
32,39.0,60.0,2012-10-19,71.45,3.594,2139.7,,1.6,99.01,11831.06,222.0951719,6.228,False,A,184109.0
